Gene,log2FoldChange,pvalue,padj
C3 ,-0.381683678,0.090313779,1
C5 ,-0.003133154,0.994353071,1
IL1B ,0.045352502,0.950206966,1
IL8 ,0.465913302,0.314905357,1
IL12A ,0.534419071,0.512765383,1
IFNA ,-0.254140818,0.663509547,1
IFNG ,0.629085134,0.351764257,1
SAA 2 ,-0.685391686,0.304756139,1
TGFB1 ,-0.084957721,0.764011951,1
TNF ,-0.104183435,0.710645162,1
LBP ,0.591787124,0.294794304,1
TLR9 ,0.043243078,0.921423192,1
TLR2 ,-0.027775558,0.943766959,1
CXCL10 ,0.384749082,0.64907925,1
CCL5 ,0.1742782,0.623492002,1
TLR3 ,-0.145864556,0.495607357,1
TLR7  ,0.056422761,0.839543153,1
NFKBIA ,-0.3064777,0.289201082,1
IL10 ,0.213426959,0.642408321,1
MUC2 ,-1.133507975,0.095067093,1
CLDN3 ,-0.310804308,0.519642237,1
IL1RN ,-0.387180589,0.557271017,1
TNFAIP3 ,0.040741718,0.946301761,1
PPIA ,-0.026126341,0.860853811,1
YWHAE ,0.03943292,0.8425767,1
IL1A ,0.184960183,0.608657309,1
SAA ,-0.362267256,0.567824137,1
TLR2 ,-0.030226356,0.930514219,1
TLR3 ,-0.392556456,0.151307836,1
TLR6 ,-0.257344688,0.475966511,1
LY96  ,0.032490553,0.910039318,1
MYD88 ,-0.088471874,0.767933872,1
TLR8 ,-0.06910027,0.787086372,1
TLR5 ,0.113778348,0.818682098,1
TLR1 ,-0.398272538,0.317011721,1
TFF2 ,2.654742672,0.374869934,1
TFF3 ,0.127851135,0.774159663,1
IL18 ,0.293893414,0.290936466,1
TLR4,0.101569592,0.719762376,1
SAA 2 AND 3,-0.127533677,0.840371329,1
NOS2 ,-0.015114572,0.984388031,1
CXCL14 ,-0.340262235,0.178835603,1
IL15 ,-0.299050077,0.441021646,1
CCL2 ,0.353319663,0.426979278,1
IDO1 ,-0.517417287,0.386479469,1
IL10RB ,0.19014256,0.497538245,1
OCLN ,0.018336802,0.954699679,1
NOD1 ,0.086130012,0.859055214,1
CASP3 ,0.154432777,0.314203212,1
TJP1/ZO1 ,-0.033909796,0.847330896,1
GLUT3/SLC2A3,0.025069761,0.950037041,1
CLDN5 ,-0.066915771,0.857812497,1
PDGFRB ,-0.171708154,0.624993694,1
TP53 ,0.098558287,0.602001806,1
TP53 ,0.006332866,0.970640793,1
IRAK1 ,-0.080217725,0.856757947,1
FAS ,0.233097121,0.386152965,1
FASLG ,-0.028907375,0.905006142,1
NFKB2 ,-0.192763112,0.302158192,1
NFKB2 ,-0.248256943,0.546410873,1
TOLLIP ,-0.539712941,0.179039456,1
IKBKB ,-0.069691845,0.851603256,1
TICAM2 ,0.077287157,0.71981212,1
CD86 ,0.017271604,0.954242466,1
ID2 ,0.21339739,0.292752184,1
NFKB1 ,-0.105543573,0.346373549,1
BCL2 ,-0.058916341,0.933125352,1
TICAM1 ,-0.040268014,0.893953197,1
GZMA ,0.71524068,0.169251643,1
SLC2A5 ,0.623393251,0.205276685,1
RETNLB ,-0.191517929,0.621783348,1
GSTM3 ,0.217452437,0.500772817,1
CD80 ,0.076147585,0.898957986,1
GATA3 ,-0.494714073,0.175448656,1
HIF1A ,-0.177114566,0.345811993,1
IL1R1 ,-0.058965873,0.863877553,1
IRAK4 ,-0.183726273,0.271444627,1
BAX ,0.139458832,0.530021133,1
SLC5A8 ,-0.559986295,0.232733495,1
MUC1 ,-0.070672979,0.821859098,1
